"","Bombus_hortorum_514","Bombus_hortorum_520","Bombus_lapidarius_173","Bombus_ruderatus_352","Bombus_ruderatus_353","Bombus_sylvestris_351","Erebia_meolans_419","Lampides_boeticus_418","Nimphalidae_348"
"1-8 Erica_tetralix",0,0,0,0,1,0,0,0,0
"10-10 Erica_tetralix",0,0,0,1,0,0,0,0,0
"10-8 Erica_tetralix",0,0,0,1,0,0,0,0,0
"12-17 Erica_tetralix",1,0,0,0,0,0,0,0,0
"12-19 Erica_tetralix",1,0,0,0,0,0,0,0,0
"14-22 Erica_tetralix",1,0,0,0,0,0,0,0,0
"14-23 Erica_tetralix",1,0,0,0,0,0,0,0,0
"15-24 Erica_tetralix",1,0,0,0,0,0,0,0,0
"18-13 Erica_tetralix",0,0,1,0,0,0,0,0,0
"18-15 Erica_tetralix",0,0,1,0,0,0,0,0,0
"18-16 Erica_tetralix",0,0,1,0,0,0,0,0,0
"19-15 Erica_tetralix",0,0,1,0,0,0,0,0,0
"20-10 Erica_tetralix",0,0,0,0,0,0,1,0,0
"21-1 Erica_tetralix",0,0,0,0,0,0,0,1,0
"21-12 Erica_tetralix",0,0,0,0,0,0,1,0,0
"21-4 Erica_tetralix",0,0,1,0,0,2,0,0,0
"21-5 Erica_tetralix",0,0,0,0,0,1,0,0,0
"4-22 Erica_tetralix",0,1,0,0,0,0,0,0,0
"4-7 Erica_tetralix",0,1,0,0,0,0,0,0,0
"5-18 Erica_tetralix",0,2,0,0,0,0,0,0,0
"5-5 Erica_tetralix",0,2,0,0,0,0,0,0,0
"8-10 Erica_tetralix",0,0,0,2,0,0,0,0,0
"9-11 Erica_tetralix",0,0,0,1,0,0,0,0,0
"9-3 Erica_tetralix",0,0,0,0,0,0,0,0,1
