"","Eristalis_sp_515","Eristalis_sp_517","Eupeodes_corollae_161","Eupeodes_corollae_162","Eupeodes_corollae_164","Eupeodes_corollae_350","Lasioglossum_punctatissimum_148","Lasioglossum_punctatissimum_150","Lasioglossum_punctatissimum_152","Lasioglossum_punctatissimum_153","Lasioglossum_punctatissimum_174","Melanostoma_scalare_145","Melanostoma_scalare_156","Platycheirus_albimanus_167","Platycheirus_albimanus_172","Platycheirus_albimanus_60","Platycheirus_sp_349","Seladonia_confusa_61","Sphaerophoria_scripta_144","Sphaerophoria_scripta_146","Sphaerophoria_scripta_149","Sphaerophoria_scripta_155","Sphaerophoria_scripta_157","Sphaerophoria_scripta_158","Sphaerophoria_scripta_160","Sphaerophoria_scripta_163","Sphaerophoria_scripta_165","Sphaerophoria_scripta_166","Sphaerophoria_scripta_168","Sphaerophoria_scripta_169","Sphaerophoria_scripta_170","Sphaerophoria_scripta_171","Sphaerophoria_scripta_354","Sphaerophoria_scripta_355","Sphaerophoria_scripta_356","Sphaerophoria_scripta_357","Sphaerophoria_scripta_358","Sphaerophoria_scripta_359","Sphaerophoria_scripta_420","Sphaerophoria_scripta_62","Sphaerophoria_scripta_63","Sphaerophoria_scripta_64","Sphaerophoria_scripta_66","Sphaerophoria_scripta_67","Sphaerophoria_scripta_68","Sphaerophoria_scripta_69","Sphaerophoria_scripta_70","Sphaerophoria_scripta_71","Sphaerophoria_scripta_72","Sphaerophoria_scripta_73","Sphaerophoria_scripta_74","Sphaerophoria_scripta_75"
"0-11 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"0-16 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-17 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-10 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-16 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-17 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-18 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-2 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
