"","Andrena_minutuloides_317","Andrena_minutuloides_558","C46_321","C47_322","Diptera_526","Episyrphus_sp_543","Eristalis_sp_292","Eristalis_sp_294","Eupeodes_corollae_173","Eupeodes_corollae_183","Eupeodes_corollae_187","Eupeodes_corollae_188","Eupeodes_corollae_192","Eupeodes_corollae_199","Eupeodes_sp_301","Eupeodes_sp_323","Eupeodes_sp_325","Eupeodes_sp_514","Eupeodes_sp_523","Eupeodes_sp_531","Eupeodes_sp_532","Eupeodes_sp_534","Eupeodes_sp_535","Eupeodes_sp_553","Eupeodes_sp_560","Lucilia_caesar_307","Lucilia_silvarum_290","Platycheirus_albimanus_547","Platycheirus_albimanus_548","Sphaerophoria_scripta_270","Sphaerophoria_scripta_272","Sphaerophoria_scripta_274","Sphaerophoria_scripta_511","Sphaerophoria_scripta_525","Sphaerophoria_scripta_527","Sphaerophoria_scripta_528","Sphaerophoria_scripta_529","Sphaerophoria_scripta_530","Sphaerophoria_scripta_533","Sphaerophoria_scripta_537","Sphaerophoria_scripta_538","Sphaerophoria_scripta_540","Sphaerophoria_scripta_541","Sphaerophoria_scripta_542","Sphaerophoria_scripta_552","Sphaerophoria_scripta_555","Sphaerophoria_scripta_557","Sphaerophoria_scripta_559","Sphaerophoria_scripta_561"
"0-1 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10-18 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-3 Bellis_perennis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-8 Bellis_perennis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-14 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-2 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"11-3 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"11-7 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"12-15 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-2 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
