"","Andrena_minutuloides_558","Episyrphus_sp_543","Eupeodes_sp_534","Lasioglossum_sp_510","Lasioglossum_sp_512","Lasioglossum_sp_539","Lasioglossum_sp_554","Sphaerophoria_scripta_538","Sphaerophoria_scripta_555","Sphaerophoria_scripta_556"
"11-3 Ranunculus_repens",0,0,0,0,0,1,0,1,0,0
"12-3 Ranunculus_repens",0,0,0,0,0,1,0,0,0,0
"20-6 Ranunculus_repens",1,0,0,0,0,0,0,0,0,0
"21-3 Ranunculus_repens",0,0,0,0,0,0,0,0,1,0
"21-4 Ranunculus_repens",0,0,0,0,0,0,0,0,1,0
"22-3 Ranunculus_repens",0,0,0,0,0,0,0,0,0,1
"22-4 Ranunculus_repens",0,0,0,0,0,0,2,0,3,0
"22-5 Ranunculus_repens",0,0,0,0,0,0,1,0,0,0
"22-6 Ranunculus_repens",0,0,0,0,0,0,0,0,0,1
"23-2 Ranunculus_repens",0,0,1,0,0,0,0,0,0,0
"4-24 Ranunculus_repens",0,0,0,0,2,0,0,0,0,0
"7-24 Ranunculus_repens",0,0,0,2,0,0,0,0,0,0
"8-24 Ranunculus_repens",0,0,0,1,0,0,0,0,0,0
"9-3 Ranunculus_repens",0,1,0,0,0,0,0,0,0,0
