"","Bombus_lapidarius_318","Bombus_lapidarius_513","Bombus_lapidarius_521","Bombus_pascuorum_276","Bombus_pascuorum_298","Bombus_pascuorum_310","Bombus_pascuorum_312","Bombus_pascuorum_313","Bombus_pascuorum_324","Bombus_pascuorum_326","Bombus_pascuorum_327","Bombus_pascuorum_328","Bombus_pascuorum_329","Bombus_pascuorum_330","Bombus_pascuorum_515","Bombus_pascuorum_516","Bombus_pascuorum_517","Bombus_pascuorum_519","Bombus_pascuorum_520","Bombus_pascuorum_522","Bombus_pascuorum_544","Bombus_pascuorum_546","Bombus_pascuorum_549","Bombus_pascuorum_550","Bombus_pascuorum_551","Eucera_nigrescens_518","Platycheirus_albimanus_547"
"10-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"10-9 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11-16 Vicia_pyrenaica",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-17 Vicia_pyrenaica",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-19 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"11-21 Vicia_pyrenaica",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-8 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"12-1 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12-18 Vicia_pyrenaica",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-19 Vicia_pyrenaica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"12-21 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"12-6 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12-7 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12-8 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-1 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13-11 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"13-12 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"13-19 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
