"","?=C19_218","?=C19_220","?=C19_221","?=C19_235","?=C19_236","Andrena_cf_morio_213","Andrena_cf_morio_50","Andrena_cf_morio_60","Andrena_cineraria_46","Apis_mellifera_350","Bombus_sp_32","C19_206","C19_208","C22_244","C55_392","Eristalis_sp_29","Eristalis_sp_31","Eristalis_sp_332","Eristalis_sp_42","Eristalis_sp_52","Eristalis_sp_56","Eristalis_sp_580","Eristalis_sp_62","Eristalis_sp_73","Eupeodes_corollae_33","Eupeodes_corollae_34","Eupeodes_sp_406","Lasioglossum_sp_412","Lasioglossum_sp_413","Lucilia_caesar_393","Lucilia_caesar_394","Lucilia_caesar_395","Lucilia_caesar_398","Lucilia_caesar_411","Lucilia_caesar_575","Lucilia_silvarum_239","Lucilia_silvarum_346","Lucilia_silvarum_348","Lucilia_silvarum_71","Lucilia_silvarum_77","Pieris_napi_203","Platycheirus_albimanus_342","Sphaerophoria_scripta_387","Sphaerophoria_scripta_389","Sphaerophoria_scripta_391","Sphaerophoria_scripta_396","Sphaerophoria_scripta_397","Sphaerophoria_scripta_399","Sphaerophoria_scripta_400","Sphaerophoria_scripta_401","Sphaerophoria_scripta_404","Sphaerophoria_scripta_405","Sphaerophoria_scripta_408","Sphaerophoria_scripta_409","Sphaerophoria_scripta_410","Sphaerophoria_scripta_416","Sphaerophoria_scripta_574","Sphaerophoria_scripta_582","Sphaerophoria_scripta_589","Sphaerophoria_scripta_591"
"0-24 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-4 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"1-21 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-22 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"1-24 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-4 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1-7 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"10-5 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-9 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-6 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-1 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
