"","Anthocharis_cardamines_202","Anthocharis_cardamines_336","Anthocharis_cardamines_338","Anthocharis_cardamines_351","Anthocharis_cardamines_361","Bombylius_sp_358","Bombylius_sp_363","Eristalis_tenax_364","Eupeodes_niger_360","Lasioglossum_sp_353","Macroglossum_stellatarum_352","Pieris_brassicae_344","Pieris_brassicae_355","Pieris_napi_203","Pieris_napi_359","Pieris_sp_340","Vanessa_atalanta_356"
"10-4 Cardamine_pratensis",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14-6 Cardamine_pratensis",0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0
"14-7 Cardamine_pratensis",0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"15-7 Cardamine_pratensis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-1 Cardamine_pratensis",0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"16-4 Cardamine_pratensis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"17-1 Cardamine_pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17-5 Cardamine_pratensis",0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"17-8 Cardamine_pratensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-19 Cardamine_pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"19-6 Cardamine_pratensis",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"19-7 Cardamine_pratensis",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"21-2 Cardamine_pratensis",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"22-5 Cardamine_pratensis",0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1
"23-9 Cardamine_pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"24-8 Cardamine_pratensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"24-9 Cardamine_pratensis",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"4-8 Cardamine_pratensis",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"5-9 Cardamine_pratensis",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"9-2 Cardamine_pratensis",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
