"","?=C19_217","?=C19_218","?=C22_216","Andrena_cf_morio_60","C19_206","C19_208","C22_212","Empis_sp_201","Empis_sp_214","Lasioglossum_sp_599","Lucilia_silvarum_211","Orthoptera_225","Platycheirus_albimanus_585","Platycheirus_albimanus_600","Sphaerophoria_scripta_569","Sphaerophoria_scripta_579","Sphaerophoria_scripta_588","Sphaerophoria_scripta_591"
"10-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"11-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"12-22 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"12-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
"2-18 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"3-22 Hutchinsia_alpina",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-23 Hutchinsia_alpina",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"4-21 Hutchinsia_alpina",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-22 Hutchinsia_alpina",0,14,0,0,2,0,0,0,5,0,0,0,5,0,0,0,0,0
"5-22 Hutchinsia_alpina",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"5-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6-15 Hutchinsia_alpina",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-21 Hutchinsia_alpina",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"6-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"7-21 Hutchinsia_alpina",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-21 Hutchinsia_alpina",1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"8-22 Hutchinsia_alpina",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-23 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
