"","Andrena_minutuloides_407","Apis_mellifera_2","C59_414","Cheilosia_sp_403","Eristalis_sp_30","Eristalis_sp_571","Eristalis_sp_572","Eristalis_sp_580","Eristalis_sp_581","Lasioglossum_sp_412","Lasioglossum_sp_601","Sphaerophoria_scripta_565"
"1-21 Ranunculus_repens",0,0,0,0,0,0,0,3,0,0,0,0
"10-24 Ranunculus_repens",0,0,0,0,0,0,0,0,1,0,0,0
"11-24 Ranunculus_repens",0,0,0,0,0,0,0,0,2,0,0,0
"12-23 Ranunculus_repens",0,0,0,0,0,0,0,0,0,0,1,0
"13-23 Ranunculus_repens",0,0,0,0,0,0,1,0,0,0,0,0
"14-23 Ranunculus_repens",0,0,0,0,0,1,0,0,0,0,0,0
"14-24 Ranunculus_repens",0,0,0,0,0,0,0,0,0,0,0,2
"15-24 Ranunculus_repens",0,0,0,0,0,0,0,0,0,0,0,1
"19-14 Ranunculus_repens",0,0,1,0,0,0,0,0,0,0,0,0
"19-15 Ranunculus_repens",0,0,2,0,0,0,0,0,0,0,0,0
"19-8 Ranunculus_repens",0,0,0,0,0,0,0,0,0,2,0,0
"21-7 Ranunculus_repens",0,0,0,0,0,0,0,0,0,1,0,0
"23-21 Ranunculus_repens",0,1,0,0,0,0,0,0,0,0,0,0
"5-6 Ranunculus_repens",0,0,0,2,0,0,0,0,0,0,0,0
"6-8 Ranunculus_repens",1,0,0,0,0,0,0,0,0,0,0,0
"7-8 Ranunculus_repens",0,0,0,0,2,0,0,0,0,0,0,0
