"","Bombus_lapidarius_415","Bombus_lapidarius_613","Bombus_pascuorum_369","Bombus_pascuorum_385","Bombus_pascuorum_567","Bombus_pascuorum_578","Bombus_pascuorum_586","Bombus_pascuorum_590","Bombus_pascuorum_593","Bombus_pascuorum_595","Bombus_pascuorum_597","Bombus_pascuorum_598","Bombus_pascuorum_602","Bombus_pascuorum_603","Bombus_pascuorum_604","Bombus_pascuorum_609","Bombus_pascuorum_610","Bombus_pascuorum_611","Bombus_pascuorum_612","Bombus_pascuorum_614","Eucera_nigrescens_587","Eucera_nigrescens_594","Eucera_nigrescens_596","Eucera_nigrescens_608"
"0-2 Vicia_pyrenaica",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-2 Vicia_pyrenaica",0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"1-21 Vicia_pyrenaica",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-22 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
"10-23 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"11-17 Vicia_pyrenaica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-2 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"13-21 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"14-21 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
"14-22 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
