"","?=C35_380","Andrena_nitida_133","Andrena_nitida_137","Apis_mellifera_446","Apis_mellifera_447","Apis_mellifera_449","Apis_mellifera_454","Apis_mellifera_459","Bombus_pascuorum_130","C35_384","C46_455","Osmia_emarginata_144","Sphaerophoria_scripta_461"
"13-4 Hippocrepis_comosa",0,0,0,0,0,0,0,0,0,5,0,0,0
"18-4 Hippocrepis_comosa",0,0,0,7,0,0,0,0,0,0,0,0,0
"18-5 Hippocrepis_comosa",4,0,0,0,0,0,0,0,0,0,0,2,0
"19-4 Hippocrepis_comosa",0,0,0,0,0,0,0,0,0,0,0,2,0
"19-5 Hippocrepis_comosa",0,0,0,0,0,0,0,0,0,0,0,1,0
"19-6 Hippocrepis_comosa",0,0,0,0,0,0,0,0,0,0,0,1,0
"19-7 Hippocrepis_comosa",0,0,0,0,0,0,0,0,0,0,0,1,0
"19-8 Hippocrepis_comosa",0,3,0,0,0,0,0,0,0,0,0,0,0
"20-2 Hippocrepis_comosa",0,0,0,0,0,0,10,0,0,0,3,0,1
"20-5 Hippocrepis_comosa",0,0,0,0,13,0,0,0,0,0,0,0,0
"21-1 Hippocrepis_comosa",0,0,0,4,0,0,0,7,0,0,0,0,0
"21-2 Hippocrepis_comosa",0,0,0,0,0,0,0,2,0,0,0,0,0
"21-4 Hippocrepis_comosa",0,0,0,0,0,0,0,0,1,0,0,0,0
"21-5 Hippocrepis_comosa",0,0,3,0,4,0,0,0,0,0,0,0,0
"22-3 Hippocrepis_comosa",0,0,0,0,0,0,0,2,0,0,0,0,0
"22-5 Hippocrepis_comosa",0,0,0,0,0,18,0,1,0,0,0,0,0
