"","Andrena_minutuloides_463","Andrena_minutuloides_466","Andrena_nitida_137","Bombus_lapidarius_372","Lasioglossum_sp_379","Lasioglossum_sp_382","Lasioglossum_sp_448","Lasioglossum_sp_450","Lasioglossum_sp_467"
"11-3 Pilosella_officinarum",1,0,0,0,0,0,0,0,0
"12-3 Pilosella_officinarum",2,0,0,0,0,0,0,0,0
"17-17 Pilosella_officinarum",0,0,0,0,1,0,0,0,0
"17-4 Pilosella_officinarum",0,5,0,0,0,0,0,0,0
"18-17 Pilosella_officinarum",0,0,0,0,1,0,0,0,0
"18-4 Pilosella_officinarum",0,1,0,0,0,0,0,0,0
"18-5 Pilosella_officinarum",0,0,0,0,0,0,0,0,1
"20-6 Pilosella_officinarum",0,0,1,0,0,0,0,0,0
"21-11 Pilosella_officinarum",0,0,0,1,0,0,0,0,0
"21-2 Pilosella_officinarum",0,0,0,0,0,0,2,0,0
"23-12 Pilosella_officinarum",0,0,0,0,0,2,0,0,0
"8-9 Pilosella_officinarum",0,0,0,0,0,0,0,1,0
