"","Andrena_cf_morio_37","Andrena_minutuloides_374","Andrena_minutuloides_452","C47_457","Lasioglossum_sp_376","Lasioglossum_sp_382","Lasioglossum_sp_450","Lasioglossum_sp_456","Melanostoma_scalare_458","Sphaerophoria_scripta_381","Sphaerophoria_scripta_462"
"1-4 Potentilla_erecta",0,1,0,0,0,0,0,0,0,0,0
"14-23 Potentilla_erecta",0,0,0,0,0,0,0,2,0,0,0
"17-1 Potentilla_erecta",1,0,0,0,0,0,0,0,0,0,0
"17-14 Potentilla_erecta",0,0,0,0,0,0,0,0,0,2,0
"18-12 Potentilla_erecta",0,0,0,0,0,0,0,0,0,1,0
"18-13 Potentilla_erecta",0,0,0,0,0,0,0,0,0,1,0
"18-15 Potentilla_erecta",0,0,0,2,0,0,0,0,0,0,0
"19-22 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0
"19-3 Potentilla_erecta",0,0,0,0,0,0,0,0,1,0,0
"2-7 Potentilla_erecta",0,1,0,0,0,0,0,0,0,0,0
"20-16 Potentilla_erecta",0,0,2,0,0,0,0,0,0,0,0
"20-22 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0
"21-12 Potentilla_erecta",0,0,0,0,0,1,0,0,0,0,0
"21-4 Potentilla_erecta",1,0,0,0,0,0,0,0,0,0,0
"4-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,1
"8-9 Potentilla_erecta",0,0,0,0,0,0,2,0,0,0,0
