"","Andrena_minutuloides_378","Lasioglossum_sp_375","Lasioglossum_sp_376","Lasioglossum_sp_450","Lasioglossum_sp_456","Melanostoma_scalare_458","Sphaerophoria_scripta_462"
"11-21 Ranunculus_repens",0,0,0,0,1,0,0
"11-3 Ranunculus_repens",1,0,0,0,0,0,0
"12-3 Ranunculus_repens",1,0,0,0,0,0,0
"13-3 Ranunculus_repens",1,0,0,0,0,0,0
"14-23 Ranunculus_repens",0,0,0,0,2,0,0
"20-3 Ranunculus_repens",0,0,0,0,0,1,0
"21-22 Ranunculus_repens",0,0,1,0,0,0,0
"5-4 Ranunculus_repens",0,0,0,0,0,0,1
"5-5 Ranunculus_repens",0,1,0,0,0,0,0
"6-6 Ranunculus_repens",0,1,0,0,0,0,0
"7-9 Ranunculus_repens",0,0,0,1,0,0,0
"8-9 Ranunculus_repens",0,0,0,2,0,0,0
