"","Apis_mellifera_622","Apis_mellifera_636","Bombus_pascuorum_631","Bombus_pascuorum_633","Bombus_pascuorum_634","Erebia_meolans_619","Erebia_meolans_621","Erebia_meolans_625","Erebia_meolans_626","Erebia_meolans_629","Erebia_meolans_632"
"13-22 Erica_cinerea",0,0,0,4,0,0,0,0,0,0,0
"14-13 Erica_cinerea",0,0,0,0,0,0,0,0,0,0,12
"15-23 Erica_cinerea",0,0,0,4,0,0,0,0,0,0,0
"17-4 Erica_cinerea",0,0,0,0,0,9,0,0,0,0,0
"18-16 Erica_cinerea",0,0,0,0,0,0,0,0,16,0,0
"20-14 Erica_cinerea",0,0,0,0,0,0,0,5,0,0,0
"20-17 Erica_cinerea",0,0,0,0,0,0,0,0,0,8,0
"22-6 Erica_cinerea",0,0,0,0,4,0,0,0,0,0,0
"4-19 Erica_cinerea",0,0,0,0,0,0,23,0,0,0,0
"6-17 Erica_cinerea",5,0,7,0,0,0,0,0,0,0,0
"8-15 Erica_cinerea",0,0,6,0,0,0,0,0,0,0,0
"8-18 Erica_cinerea",0,10,0,0,0,0,0,0,0,0,0
