"","C55_444","Empis_sp_115","Empis_sp_116","Empis_sp_117","Empis_sp_118","Empis_sp_119","Empis_sp_120","Empis_sp_122","Empis_sp_123","Empis_sp_124","Empis_sp_125","Empis_sp_41","Empis_sp_417","Empis_sp_418","Empis_sp_419","Empis_sp_420","Empis_sp_421","Empis_sp_422","Empis_sp_423","Empis_sp_424","Lasioglossum_sp_121"
"1-22 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1-6 Scilla_verna",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-1 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"11-9 Scilla_verna",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-11 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"14-4 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"15-6 Scilla_verna",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"18-14 Scilla_verna",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-14 Scilla_verna",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"19-7 Scilla_verna",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-21 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"3-7 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4-24 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"4-7 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"5-23 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"6-15 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"6-8 Scilla_verna",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-14 Scilla_verna",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-18 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"8-22 Scilla_verna",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"8-5 Scilla_verna",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
