"","C20_114","C32_265","Empis_sp_255","Empis_sp_256","Empis_sp_257","Empis_sp_258","Empis_sp_259","Empis_sp_260","Empis_sp_261","Empis_sp_262","Empis_sp_263","Empis_sp_264","Empis_sp_266","Empis_sp_267","Empis_sp_40","Empis_sp_616","Empis_sp_617","Empis_sp_618"
"10-8 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"16-1 Scilla_verna",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"16-2 Scilla_verna",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"17-2 Scilla_verna",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-21 Scilla_verna",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-14 Scilla_verna",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"19-4 Scilla_verna",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"20-14 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"22-1 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"23-13 Scilla_verna",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-16 Scilla_verna",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-15 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4-19 Scilla_verna",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"7-17 Scilla_verna",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"7-4 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"8-17 Scilla_verna",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"8-3 Scilla_verna",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
