"","Andrena_rhyssonota_43","Apis_mellifera_10","Apis_mellifera_18","Apis_mellifera_19","Apis_mellifera_7","Apis_mellifera_8","Apis_mellifera_9","Bombus_3S_36","Bombus_lapidarius_33","Eristalis_tenax_20","Eristalis_tenax_22","Eristalis_tenax_24","Eristalis_tenax_26","Eristalis_tenax_27","Eristalis_tenax_29","Eupeodes_corollae_30","Lasioglossum_calceatum_85","Sphaerophoria_scripta_105","Sphaerophoria_scripta_82"
"0-9 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1-10 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1-23 Taraxacum_sp",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-11 Taraxacum_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10-18 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"11-11 Taraxacum_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"11-12 Taraxacum_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13-13 Taraxacum_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14-12 Taraxacum_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"15-15 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16-11 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-15 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"16-18 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"16-9 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-11 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-18 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17-24 Taraxacum_sp",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-13 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-18 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"18-23 Taraxacum_sp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-23 Taraxacum_sp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-17 Taraxacum_sp",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2-18 Taraxacum_sp",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2-22 Taraxacum_sp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2-24 Taraxacum_sp",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"20-17 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"20-23 Taraxacum_sp",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-13 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-15 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"21-20 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"22-12 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-14 Taraxacum_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-17 Taraxacum_sp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-18 Taraxacum_sp",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"3-19 Taraxacum_sp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-10 Taraxacum_sp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-11 Taraxacum_sp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-10 Taraxacum_sp",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6-11 Taraxacum_sp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-23 Taraxacum_sp",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-19 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
