"","Bombus_lapidarius_232","Bombus_lapidarius_238","Bombus_lapidarius_278","Bombus_pascuorum_117","Bombus_pascuorum_118","Bombus_pascuorum_120","Bombus_pascuorum_121","Bombus_pascuorum_14","Bombus_pascuorum_256","Bombus_pascuorum_257","Bombus_pascuorum_272","Bombus_pascuorum_281","Bombus_pascuorum_284","Bombus_pascuorum_286","Bombus_pascuorum_290","Bombus_pascuorum_292","Bombus_pascuorum_295","Bombus_pascuorum_303","Bombus_pascuorum_312","Bombus_pascuorum_319","Bombus_pascuorum_321","Bombus_pascuorum_44","Platycheirus_albimanus_251"
"0-16 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1-16 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"1-17 Ajuga_reptans",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-16 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"12-21 Ajuga_reptans",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-18 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0
"14-19 Ajuga_reptans",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"14-20 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"15-18 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
"15-19 Ajuga_reptans",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
"15-23 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"15-24 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"16-17 Ajuga_reptans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-19 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16-20 Ajuga_reptans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
