"","Sphaerophoria_scripta_233","Sphaerophoria_scripta_236","Sphaerophoria_scripta_248","Sphaerophoria_scripta_249","Sphaerophoria_scripta_269","Sphaerophoria_scripta_270","Sphaerophoria_scripta_271","Sphaerophoria_scripta_282","Sphaerophoria_scripta_285","Sphaerophoria_scripta_299","Sphaerophoria_scripta_304"
"11-21 Hutchinsia_alpina",0,0,0,0,0,0,1,0,0,0,0
"17-24 Hutchinsia_alpina",1,0,0,0,0,0,0,0,0,0,0
"20-15 Hutchinsia_alpina",0,0,4,4,0,0,0,0,0,0,0
"4-20 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,1,0
"5-23 Hutchinsia_alpina",0,0,0,0,0,2,0,0,0,0,0
"7-18 Hutchinsia_alpina",0,0,0,0,2,0,0,0,0,0,0
"7-20 Hutchinsia_alpina",0,0,0,0,0,0,0,2,0,0,0
"8-17 Hutchinsia_alpina",0,0,0,0,0,0,0,0,0,0,3
"8-20 Hutchinsia_alpina",0,0,0,0,0,0,0,2,2,0,0
"9-21 Hutchinsia_alpina",0,2,0,0,0,0,0,0,0,0,0
