"","Eristalis_tenax_255","Sphaerophoria_scripta_231","Sphaerophoria_scripta_242","Sphaerophoria_scripta_243","Sphaerophoria_scripta_254","Sphaerophoria_scripta_261","Sphaerophoria_scripta_264","Sphaerophoria_scripta_265","Sphaerophoria_scripta_266","Sphaerophoria_scripta_277","Sphaerophoria_scripta_279","Sphaerophoria_scripta_308"
"0-0 Myosotis_lamottiana",0,1,0,0,0,0,0,0,0,0,0,0
"1-0 Myosotis_lamottiana",0,1,0,0,0,0,0,0,0,0,0,0
"1-19 Myosotis_lamottiana",0,0,0,0,2,0,0,0,0,0,0,0
"12-1 Myosotis_lamottiana",0,0,0,1,0,0,0,0,0,0,0,0
"14-24 Myosotis_lamottiana",0,0,0,0,0,1,0,0,0,0,0,0
"16-4 Myosotis_lamottiana",0,0,0,0,0,0,1,0,0,0,0,0
"19-21 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,0,1,0
"20-21 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,0,3,0
"20-4 Myosotis_lamottiana",0,0,0,0,0,0,0,0,1,0,0,0
"21-24 Myosotis_lamottiana",2,0,0,0,0,0,0,0,0,0,0,0
"22-15 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,1,0,0
"7-1 Myosotis_lamottiana",0,0,0,0,0,0,0,3,0,0,0,0
"9-17 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,0,0,3
"9-4 Myosotis_lamottiana",0,0,2,0,0,0,0,0,0,0,0,0
