"","Bombus_lapidarius_235","Bombus_lapidarius_239","Bombus_pascuorum_112","Bombus_pascuorum_113","Bombus_pascuorum_114","Bombus_pascuorum_115","Bombus_pascuorum_116","Bombus_pascuorum_117","Bombus_pascuorum_119","Bombus_pascuorum_120","Bombus_pascuorum_121","Bombus_pascuorum_14","Bombus_pascuorum_16","Bombus_pascuorum_258","Bombus_pascuorum_259","Bombus_pascuorum_260","Bombus_pascuorum_268","Bombus_pascuorum_272","Bombus_pascuorum_275","Bombus_pascuorum_281","Bombus_pascuorum_283","Bombus_pascuorum_284","Bombus_pascuorum_286","Bombus_pascuorum_287","Bombus_pascuorum_288","Bombus_pascuorum_289","Bombus_pascuorum_290","Bombus_pascuorum_295","Bombus_pascuorum_298","Bombus_pascuorum_300","Bombus_pascuorum_301","Bombus_pascuorum_302","Bombus_pascuorum_309","Bombus_pascuorum_316","Bombus_pascuorum_317","Bombus_pascuorum_318","Bombus_pascuorum_319","Bombus_pascuorum_320","Bombus_pascuorum_321","Bombus_pascuorum_44","Bombus_pascuorum_45","Bombus_pascuorum_47","Bombus_pascuorum_48","Bombus_pascuorum_49"
"0-15 Vicia_pyrenaica",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,1
"0-16 Vicia_pyrenaica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"0-17 Vicia_pyrenaica",0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
"0-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"0-19 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"0-22 Vicia_pyrenaica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-23 Vicia_pyrenaica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-14 Vicia_pyrenaica",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1-17 Vicia_pyrenaica",0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"1-18 Vicia_pyrenaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
