"","Abeja_culo_rayas_431","Apis_mellifera_337","Apis_mellifera_344","Eristalis_sp_450","Eristalis_tenax_434","Eupeodes_corollae_442","S113_401","S118_417","Sirfido_ojos_rojos_432","Sirfido_rayas_foto_447","Sphaerophoria_scripta_334","Sphaerophoria_scripta_404","Syrphus_ribesii_402","Syrphus_ribesii_405"
"1-17 Ranunculus_sp",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10-9 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"12-14 Ranunculus_sp",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13-11 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14-18 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"14-20 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16-23 Ranunculus_sp",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"17-2 Ranunculus_sp",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17-22 Ranunculus_sp",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18-21 Ranunculus_sp",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"18-23 Ranunculus_sp",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"19-20 Ranunculus_sp",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"22-23 Ranunculus_sp",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"22-24 Ranunculus_sp",1,4,0,0,0,0,0,0,0,0,0,0,0,0
"23-23 Ranunculus_sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-24 Ranunculus_sp",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"24-20 Ranunculus_sp",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"9-3 Ranunculus_sp",0,0,0,0,0,0,0,0,0,0,1,0,0,0
