"","Bombus_lapidarius_410","Bombus_pascuorum_339","Bombus_pascuorum_342","Bombus_pascuorum_345","Bombus_pascuorum_346","Bombus_pascuorum_439","Bombus_pascuorum_440","Bombus_pascuorum_457","Bombus_pratorum_343"
"1-20 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0
"1-21 Vicia_pyrenaica",0,0,0,3,0,0,0,0,1
"10-24 Vicia_pyrenaica",0,1,0,0,0,0,0,0,0
"13-23 Vicia_pyrenaica",0,0,0,0,0,0,0,1,0
"2-19 Vicia_pyrenaica",1,0,0,0,0,0,0,0,0
"2-20 Vicia_pyrenaica",0,0,0,1,1,0,0,0,0
"2-21 Vicia_pyrenaica",0,0,0,1,0,0,0,0,0
"3-20 Vicia_pyrenaica",0,0,0,0,1,0,0,0,0
"3-21 Vicia_pyrenaica",0,0,1,0,0,0,0,0,1
"4-21 Vicia_pyrenaica",0,0,2,0,0,0,0,0,0
"6-24 Vicia_pyrenaica",0,0,0,0,0,0,1,0,0
"7-18 Vicia_pyrenaica",0,0,0,0,0,2,0,0,0
"8-19 Vicia_pyrenaica",0,0,0,0,0,1,0,0,0
"9-21 Vicia_pyrenaica",0,0,0,0,0,0,1,0,0
"9-24 Vicia_pyrenaica",0,3,0,0,0,0,0,0,0
