"","Bombus_hortorum_498","Bombus_hortorum_508","Bombus_hortorum_510","Sphaerophoria_scripta_503","Thymelicus_sp_511"
"16-4 Prunella_grandiflora",1,0,0,0,0
"16-5 Prunella_grandiflora",1,0,0,0,0
"16-9 Prunella_grandiflora",0,0,1,0,0
"17-5 Prunella_grandiflora",1,0,0,0,0
"17-6 Prunella_grandiflora",1,0,0,0,0
"3-1 Prunella_grandiflora",0,0,1,0,0
"3-2 Prunella_grandiflora",0,0,0,0,1
"3-3 Prunella_grandiflora",0,0,3,0,1
"6-18 Prunella_grandiflora",0,1,0,0,0
"7-17 Prunella_grandiflora",0,2,0,0,0
"8-18 Prunella_grandiflora",0,0,0,1,0
