"","Bombus_terrestris_1","Episyrphus_balteatus_175","S28_180","Seladonia_confusa_188","Seladonia_confusa_57","Sphaerophoria_scripta_503","Sphaerophoria_scripta_55"
"1-20 Ranunculus_sp",0,4,0,0,0,0,0
"1-21 Ranunculus_sp",0,1,0,0,0,0,0
"1-22 Ranunculus_sp",0,1,0,0,0,0,0
"13-12 Ranunculus_sp",0,0,0,2,0,0,0
"14-5 Ranunculus_sp",0,0,1,0,0,0,0
"15-5 Ranunculus_sp",0,0,1,0,0,0,0
"18-17 Ranunculus_sp",0,0,0,0,1,0,0
"21-5 Ranunculus_sp",0,0,0,0,0,0,1
"24-24 Ranunculus_sp",1,0,0,0,0,0,0
"8-18 Ranunculus_sp",0,0,0,0,0,2,0
