"","Bombus_lapidarius_484","Bombus_lapidarius_489","Bombus_lapidarius_490","Bombus_pascuorum_475","Bombus_pascuorum_481","Bombus_pascuorum_482","Bombus_pascuorum_491","Zygaena_lonicerae_471"
"10-0 Lotus_corniculatus",0,5,0,0,0,0,0,0
"10-3 Lotus_corniculatus",0,0,0,0,0,0,0,2
"13-20 Lotus_corniculatus",0,0,0,0,0,0,1,0
"14-20 Lotus_corniculatus",0,0,0,0,0,0,1,0
"19-11 Lotus_corniculatus",0,0,0,0,5,0,0,0
"22-21 Lotus_corniculatus",0,0,2,0,0,0,0,0
"23-21 Lotus_corniculatus",0,0,2,0,0,0,0,0
"5-10 Lotus_corniculatus",0,0,0,0,0,6,0,0
"5-2 Lotus_corniculatus",0,0,0,1,0,0,0,0
"6-9 Lotus_corniculatus",0,0,0,0,0,1,0,0
"7-8 Lotus_corniculatus",4,0,0,0,0,0,0,0
"8-0 Lotus_corniculatus",0,1,0,0,0,0,0,0
"9-0 Lotus_corniculatus",0,1,0,0,0,0,0,0
"9-5 Lotus_corniculatus",0,0,0,3,0,0,0,0
