"","Abeja_culo_rayas_463","Abeja_culo_rayas_472","Abeja_culo_rayas_485","Sirfido_ojos_rojos_496","Sphaerophoria_scripta_464","Sphaerophoria_scripta_465","Sphaerophoria_scripta_467","Sphaerophoria_scripta_469","Sphaerophoria_scripta_476","Sphaerophoria_scripta_477","Sphaerophoria_scripta_478","Sphaerophoria_scripta_479","Sphaerophoria_scripta_483","Sphaerophoria_scripta_494","Sphaerophoria_scripta_495"
"11-16 Potentilla_erecta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-12 Potentilla_erecta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-13 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"16-15 Potentilla_erecta",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"16-17 Potentilla_erecta",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"18-17 Potentilla_erecta",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-16 Potentilla_erecta",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"22-15 Potentilla_erecta",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"3-12 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"3-13 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3-14 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"3-15 Potentilla_erecta",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"3-18 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4-14 Potentilla_erecta",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"5-14 Potentilla_erecta",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"5-15 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"7-7 Potentilla_erecta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7-8 Potentilla_erecta",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"8-8 Potentilla_erecta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
