"","Apis_mellifera_551","Bombus_hortorum_560","Bombus_hortorum_561","Bombus_pratorum_323","Erebia_meolans_384","Erebia_meolans_387","Erebia_meolans_552","Lampides_boeticus_390","Lepidoptera_396","Sphaerophoria_scripta_554"
"0-12 Erica_cinerea",0,2,0,0,0,0,0,0,0,0
"0-6 Erica_cinerea",0,0,0,0,0,0,0,0,0,2
"1-12 Erica_cinerea",0,2,0,0,0,0,0,0,0,0
"10-12 Erica_cinerea",0,0,5,0,0,0,0,0,0,0
"11-7 Erica_cinerea",4,0,0,0,0,0,0,0,0,0
"12-12 Erica_cinerea",0,0,1,0,0,0,0,0,0,0
"12-8 Erica_cinerea",1,0,0,0,0,0,0,0,0,0
"13-12 Erica_cinerea",0,0,1,0,0,0,0,0,0,0
"13-20 Erica_cinerea",0,0,0,0,0,0,3,0,0,0
"14-12 Erica_cinerea",0,0,2,0,0,0,0,0,0,0
"17-5 Erica_cinerea",0,0,0,0,0,0,0,0,2,0
"18-24 Erica_cinerea",0,0,0,0,0,0,0,2,0,0
"2-10 Erica_cinerea",0,0,0,0,1,2,0,0,0,0
"21-10 Erica_cinerea",0,0,0,3,0,0,0,0,0,0
"3-2 Erica_cinerea",0,0,0,0,1,0,0,0,0,0
"7-15 Erica_cinerea",0,0,2,0,0,0,0,0,0,0
