"","?=S120_389","Lasioglossum_calceatum_391","Lasioglossum_calceatum_392","Lasioglossum_calceatum_393","Lasioglossum_calceatum_394","Mosquita_punto_4_553","Mosquita_punto_4_555","Mosquita_punto_4_558","Mosquita_punto_4_559","S120_386","Sphaerophoria_scripta_385","Sphaerophoria_scripta_395","Sphaerophoria_scripta_554","Sphaerophoria_scripta_557","Tachinidae_388"
"0-6 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12-20 Potentilla_erecta",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"12-3 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12-7 Potentilla_erecta",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"13-7 Potentilla_erecta",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"16-4 Potentilla_erecta",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"17-21 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"19-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"21-21 Potentilla_erecta",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"24-3 Potentilla_erecta",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-8 Potentilla_erecta",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"7-8 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"8-16 Potentilla_erecta",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"8-6 Potentilla_erecta",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-1 Potentilla_erecta",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
