"","Bombus_terrestris_65","Pieris_sp_154","Pieris_sp_159","Platycheirus_albimanus_59","Platycheirus_albimanus_60","Seladonia_confusa_61","Sphaerophoria_scripta_147"
"18-5 Scorzonera_humilis",0,0,1,0,0,0,0
"18-8 Scorzonera_humilis",0,0,1,0,0,0,0
"21-2 Scorzonera_humilis",0,0,0,0,1,0,0
"21-21 Scorzonera_humilis",0,0,0,0,0,0,2
"22-2 Scorzonera_humilis",0,0,0,0,1,0,0
"22-4 Scorzonera_humilis",0,0,0,0,0,1,0
"5-12 Scorzonera_humilis",1,0,0,0,0,0,0
"5-21 Scorzonera_humilis",0,4,0,0,0,0,0
"6-12 Scorzonera_humilis",2,0,0,0,0,0,0
"7-22 Scorzonera_humilis",0,1,0,0,0,0,0
"8-11 Scorzonera_humilis",0,0,0,1,0,0,0
