"","Eupeodes_corollae_350","Platycheirus_sp_349","Sphaerophoria_scripta_354","Sphaerophoria_scripta_355","Sphaerophoria_scripta_356","Sphaerophoria_scripta_357","Sphaerophoria_scripta_358","Sphaerophoria_scripta_359","Sphaerophoria_scripta_420"
"0-16 Potentilla_erecta",0,0,0,0,0,1,0,0,0
"0-17 Potentilla_erecta",0,0,0,0,0,1,0,0,0
"0-4 Potentilla_erecta",0,0,0,0,0,0,2,0,0
"1-16 Potentilla_erecta",0,0,0,0,0,1,0,0,0
"1-17 Potentilla_erecta",0,0,0,0,0,1,0,0,0
"1-4 Potentilla_erecta",0,0,0,0,0,0,1,0,0
"10-8 Potentilla_erecta",0,0,0,0,1,0,0,0,0
"14-0 Potentilla_erecta",0,0,0,0,0,0,0,2,0
"15-0 Potentilla_erecta",0,0,0,0,0,0,0,1,0
"3-20 Potentilla_erecta",0,0,0,1,0,0,0,0,0
"4-19 Potentilla_erecta",0,0,0,1,0,0,0,0,0
"4-5 Potentilla_erecta",1,0,0,0,0,0,0,0,0
"4-6 Potentilla_erecta",0,1,0,0,0,0,0,0,0
"5-6 Potentilla_erecta",2,2,0,0,0,0,0,0,0
"5-7 Potentilla_erecta",1,0,0,0,0,0,0,0,0
"6-6 Potentilla_erecta",1,1,0,0,0,0,0,0,0
"8-19 Potentilla_erecta",0,0,0,0,0,0,0,0,1
"8-6 Potentilla_erecta",0,0,1,0,0,0,0,0,0
"8-7 Potentilla_erecta",0,0,1,0,0,0,0,0,0
"9-19 Potentilla_erecta",0,0,0,0,0,0,0,0,1
"9-6 Potentilla_erecta",0,0,4,0,0,0,0,0,0
"9-7 Potentilla_erecta",0,0,0,0,1,0,0,0,0
