"","Eupeodes_corollae_173","Eupeodes_corollae_183","Eupeodes_corollae_187","Eupeodes_corollae_188","Eupeodes_corollae_192","Eupeodes_corollae_199"
"11-14 Bellis_perennis",0,0,0,0,0,2
"12-15 Bellis_perennis",0,0,0,0,0,1
"15-1 Bellis_perennis",0,0,0,0,2,0
"16-11 Bellis_perennis",0,0,0,0,2,0
"16-7 Bellis_perennis",0,0,0,1,0,0
"18-7 Bellis_perennis",0,0,0,1,0,0
"18-8 Bellis_perennis",0,0,0,1,0,0
"19-5 Bellis_perennis",1,0,0,0,0,0
"20-18 Bellis_perennis",0,0,2,0,0,0
"20-19 Bellis_perennis",0,0,1,0,0,0
"20-5 Bellis_perennis",1,0,0,0,0,0
"21-16 Bellis_perennis",0,1,0,0,0,0
"21-18 Bellis_perennis",0,0,1,0,0,0
"22-14 Bellis_perennis",0,1,0,0,0,0
"22-15 Bellis_perennis",0,1,0,0,0,0
