"","Andrena_nitida_85","Andrena_nitida_86","Apis_mellifera_101","Apis_mellifera_102","Apis_mellifera_104","Apis_mellifera_109","Apis_mellifera_111","Apis_mellifera_112","Apis_mellifera_145","Apis_mellifera_147","Apis_mellifera_151","Apis_mellifera_157","Apis_mellifera_159","Apis_mellifera_160","Apis_mellifera_161","Apis_mellifera_162","Apis_mellifera_163","Apis_mellifera_164","Apis_mellifera_165","Apis_mellifera_166","Apis_mellifera_167","Apis_mellifera_168","Apis_mellifera_169","Apis_mellifera_170","Apis_mellifera_171","Apis_mellifera_172","Apis_mellifera_175","Apis_mellifera_176","Apis_mellifera_178","Apis_mellifera_181","Apis_mellifera_182","Apis_mellifera_184","Apis_mellifera_185","Apis_mellifera_186","Apis_mellifera_190","Apis_mellifera_191","Apis_mellifera_194","Apis_mellifera_195","Apis_mellifera_196","Apis_mellifera_197","Apis_mellifera_198","Apis_mellifera_200","Apis_mellifera_88","Apis_mellifera_93","Apis_mellifera_97","Apis_mellifera_99","Bombus_pascuorum_95","Eristalis_sp_149","Eristalis_sp_150","Eristalis_sp_152","Eristalis_sp_153","Eristalis_sp_154","Eristalis_sp_155","Eristalis_sp_156","Eristalis_sp_17","Eristalis_sp_18","Eristalis_sp_25","Eristalis_sp_89","Eupeodes_corollae_96","Lasioglossum_immunitum_113","Lasioglossum_immunitum_174","Lasioglossum_immunitum_87","Lasioglossum_immunitum_90","Lasioglossum_immunitum_92","Vanessa_cardui_180","Vanessa_cardui_189"
"1-11 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-19 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-1 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-12 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-13 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-15 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-3 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-4 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-5 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10-6 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
