"","Bombus_lapidarius_100","Bombus_lapidarius_81","Bombus_pascuorum_108","Bombus_pascuorum_146","Bombus_pascuorum_148","Bombus_pascuorum_193","Bombus_pascuorum_94","Bombus_pascuorum_95"
"1-7 Viola_riviniana",2,0,0,0,0,0,0,0
"14-14 Viola_riviniana",0,1,0,0,0,0,0,0
"15-8 Viola_riviniana",0,0,0,0,0,1,0,0
"2-1 Viola_riviniana",0,0,0,0,0,0,0,3
"2-6 Viola_riviniana",1,0,0,0,0,0,0,0
"2-7 Viola_riviniana",1,0,0,0,0,0,0,0
"2-8 Viola_riviniana",2,0,0,0,0,0,0,0
"22-11 Viola_riviniana",0,0,0,1,0,0,0,0
"22-18 Viola_riviniana",0,0,0,0,1,0,0,0
"23-19 Viola_riviniana",0,0,0,2,1,0,0,0
"24-16 Viola_riviniana",0,0,0,0,0,1,0,0
"3-1 Viola_riviniana",0,0,3,0,0,0,0,7
"3-2 Viola_riviniana",0,0,1,0,0,0,0,0
"4-2 Viola_riviniana",0,0,0,0,0,0,0,1
"4-9 Viola_riviniana",1,0,0,0,0,0,0,0
"5-2 Viola_riviniana",0,0,0,0,0,0,1,0
"5-7 Viola_riviniana",0,1,0,0,0,0,0,0
"7-1 Viola_riviniana",3,0,0,0,0,0,0,0
"7-3 Viola_riviniana",0,0,0,0,0,0,1,0
"9-4 Viola_riviniana",2,0,0,0,0,0,0,0
