"","Andrena_minutuloides_317","Apis_mellifera_268","Apis_mellifera_269","Apis_mellifera_271","Apis_mellifera_273","Apis_mellifera_275","Apis_mellifera_278","Apis_mellifera_279","Apis_mellifera_280","Apis_mellifera_282","Apis_mellifera_288","Apis_mellifera_289","Apis_mellifera_291","Apis_mellifera_293","Apis_mellifera_295","Apis_mellifera_299","Apis_mellifera_300","Apis_mellifera_304","Apis_mellifera_305","Apis_mellifera_308","Apis_mellifera_309","Apis_mellifera_314","Apis_mellifera_315","Apis_mellifera_316","Apis_mellifera_319","Bombylius_sp_296","Eristalis_sp_283","Eristalis_sp_286","Eristalis_sp_287","Eristalis_sp_292","Eristalis_sp_294","Eristalis_sp_302","Eristalis_sp_306","Lasioglossum_sp_524","Platycheirus_albimanus_285","Platycheirus_albimanus_297","Sphaerophoria_scripta_281"
"1-1 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-9 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-18 Taraxacum_sp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-7 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-17 Taraxacum_sp",0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-18 Taraxacum_sp",0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-4 Taraxacum_sp",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-5 Taraxacum_sp",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-6 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-16 Taraxacum_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
