"","Bombus_lapidarius_513","Bombus_lapidarius_521","Bombus_pascuorum_515","Bombus_pascuorum_516","Bombus_pascuorum_517","Bombus_pascuorum_519","Bombus_pascuorum_520","Bombus_pascuorum_522","Eucera_nigrescens_518"
"10-18 Vicia_pyrenaica",0,0,0,0,0,0,3,0,0
"13-1 Vicia_pyrenaica",0,0,0,1,0,0,0,0,0
"13-11 Vicia_pyrenaica",0,0,0,1,0,0,0,1,0
"13-12 Vicia_pyrenaica",0,0,0,0,0,0,0,1,0
"13-19 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0
"13-2 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0
"14-1 Vicia_pyrenaica",0,0,0,1,0,0,0,0,0
"14-18 Vicia_pyrenaica",0,0,0,1,0,0,0,0,0
"14-19 Vicia_pyrenaica",0,0,0,3,0,0,0,0,0
"14-2 Vicia_pyrenaica",0,0,0,1,0,0,0,0,0
"14-9 Vicia_pyrenaica",0,0,0,1,0,0,0,0,0
"15-1 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0
"15-17 Vicia_pyrenaica",0,0,0,0,0,0,0,2,0
"15-18 Vicia_pyrenaica",0,0,0,0,0,0,0,1,0
"15-24 Vicia_pyrenaica",0,0,0,0,1,0,0,0,0
"15-5 Vicia_pyrenaica",0,4,0,0,0,0,0,0,0
"16-16 Vicia_pyrenaica",0,0,0,0,0,0,0,1,0
"16-9 Vicia_pyrenaica",0,0,0,2,0,0,0,0,0
"18-19 Vicia_pyrenaica",0,0,0,0,0,0,0,1,0
"18-22 Vicia_pyrenaica",0,0,0,0,1,0,0,0,0
"19-22 Vicia_pyrenaica",0,0,0,0,0,0,0,0,1
"20-22 Vicia_pyrenaica",0,0,0,0,0,0,0,0,1
"22-8 Vicia_pyrenaica",0,1,0,0,0,0,0,0,0
"24-14 Vicia_pyrenaica",2,0,0,0,0,0,0,0,0
"5-19 Vicia_pyrenaica",0,0,2,0,0,0,0,0,0
"6-12 Vicia_pyrenaica",0,0,0,0,0,1,0,0,0
"7-13 Vicia_pyrenaica",0,0,0,0,0,1,0,0,0
"7-14 Vicia_pyrenaica",0,0,0,0,0,1,0,0,0
"8-13 Vicia_pyrenaica",0,0,0,0,0,1,0,0,0
"9-18 Vicia_pyrenaica",0,0,0,0,0,0,2,0,0
