"","Andrena_cf_morio_50","Andrena_cf_morio_60","Andrena_cineraria_46","Bombus_sp_32","Eristalis_sp_29","Eristalis_sp_31","Eristalis_sp_42","Eristalis_sp_52","Eristalis_sp_56","Eristalis_sp_62","Eristalis_sp_73","Eupeodes_corollae_33","Eupeodes_corollae_34","Lucilia_silvarum_71","Lucilia_silvarum_77"
"11-6 Bellis_perennis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"12-1 Bellis_perennis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12-13 Bellis_perennis",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"12-17 Bellis_perennis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"12-6 Bellis_perennis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"13-11 Bellis_perennis",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"13-15 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14-13 Bellis_perennis",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"14-15 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"14-16 Bellis_perennis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14-3 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"15-9 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"17-16 Bellis_perennis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"17-6 Bellis_perennis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-16 Bellis_perennis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-17 Bellis_perennis",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"20-18 Bellis_perennis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-12 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"22-14 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"22-17 Bellis_perennis",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"23-12 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"23-17 Bellis_perennis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5-16 Bellis_perennis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-17 Bellis_perennis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8-7 Bellis_perennis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8-8 Bellis_perennis",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"9-9 Bellis_perennis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
