"","Apis_mellifera_1","Apis_mellifera_2","Apis_mellifera_3","Apis_mellifera_44","Apis_mellifera_51","Apis_mellifera_7","Bombus_pascuorum_69","Bombus_pratorum_43","Bombus_terrestris_4","Bombus_terrestris_6"
"17-19 Helleborus_viridis",0,0,0,0,0,0,0,0,0,1
"18-23 Helleborus_viridis",0,0,0,1,0,0,0,0,0,0
"18-24 Helleborus_viridis",0,0,0,1,0,0,1,0,0,0
"19-18 Helleborus_viridis",0,0,1,0,0,0,0,0,0,1
"19-23 Helleborus_viridis",0,0,0,2,0,0,0,0,0,0
"20-24 Helleborus_viridis",0,0,0,1,2,0,0,0,0,0
"23-19 Helleborus_viridis",0,0,0,0,0,0,0,2,0,0
"23-2 Helleborus_viridis",3,0,2,0,0,0,0,0,2,0
"23-21 Helleborus_viridis",0,2,1,0,0,0,0,0,0,0
"24-9 Helleborus_viridis",0,0,0,0,0,2,0,0,0,0
