"","Andrena_cf_morio_60","Andrena_cf_morio_61","Andrena_cf_morio_65","Andrena_cf_morio_70","Andrena_cf_morio_75","Andrena_cf_morio_76","Andrena_cineraria_46","Andrena_cineraria_48","Bombus_pascuorum_69","Eristalis_sp_52","Lucilia_silvarum_77"
"0-1 Potentilla_sterilis",0,0,1,0,0,0,0,0,0,0,0
"0-13 Potentilla_sterilis",1,0,0,0,1,0,0,0,0,0,0
"0-15 Potentilla_sterilis",0,0,0,0,1,0,0,0,0,0,0
"0-9 Potentilla_sterilis",0,0,1,0,0,0,0,0,0,0,0
"1-11 Potentilla_sterilis",0,0,0,0,5,0,0,0,0,0,0
"1-12 Potentilla_sterilis",2,0,0,0,0,0,0,0,0,0,0
"1-13 Potentilla_sterilis",0,0,0,0,1,0,0,0,0,0,0
"12-22 Potentilla_sterilis",0,0,0,0,0,0,0,1,0,0,0
"12-8 Potentilla_sterilis",0,3,0,0,0,0,0,0,0,0,0
"13-17 Potentilla_sterilis",0,0,0,0,0,0,0,1,0,0,0
"14-7 Potentilla_sterilis",0,0,0,0,0,2,0,0,0,0,0
"16-9 Potentilla_sterilis",0,0,0,0,0,0,0,0,0,0,1
"21-5 Potentilla_sterilis",0,0,0,0,0,0,0,0,1,0,0
"23-3 Potentilla_sterilis",0,0,0,2,0,0,0,0,0,0,0
"4-15 Potentilla_sterilis",1,0,0,0,0,0,0,0,0,0,0
"4-5 Potentilla_sterilis",0,0,0,0,0,0,2,0,0,0,0
"5-16 Potentilla_sterilis",2,0,0,0,0,0,0,0,0,0,0
"5-3 Potentilla_sterilis",0,0,0,0,0,0,2,0,0,0,0
"6-15 Potentilla_sterilis",2,0,0,0,0,0,0,0,0,0,0
"6-2 Potentilla_sterilis",0,0,0,0,0,0,0,1,0,0,0
"6-3 Potentilla_sterilis",0,0,0,0,0,0,2,0,0,0,0
"7-17 Potentilla_sterilis",0,0,0,0,0,0,0,0,0,1,0
"8-8 Potentilla_sterilis",0,0,0,0,0,0,6,0,0,0,0
"9-2 Potentilla_sterilis",0,0,0,0,0,0,0,1,0,0,0
