"","Calliphoridae_573","Cheilosia_personata_570","Eristalis_sp_562","Eristalis_sp_563","Eristalis_sp_566","Eristalis_sp_568","Eristalis_sp_571","Eristalis_sp_572","Eristalis_sp_605","Lasioglossum_sp_601","Lucilia_caesar_576","Lucilia_caesar_607","Platycheirus_albimanus_606","Sphaerophoria_scripta_577","Sphaerophoria_scripta_579"
"12-22 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"12-23 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
"13-23 Myosotis_lamottiana",0,0,0,0,0,0,0,2,0,3,0,0,0,0,0
"14-22 Myosotis_lamottiana",0,0,0,0,0,0,0,2,3,0,3,0,3,0,0
"14-23 Myosotis_lamottiana",4,6,0,0,0,5,5,0,0,0,0,0,0,0,0
"15-23 Myosotis_lamottiana",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"16-22 Myosotis_lamottiana",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"17-23 Myosotis_lamottiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18-23 Myosotis_lamottiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21-23 Myosotis_lamottiana",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"22-23 Myosotis_lamottiana",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
