"","Bombus_lapidarius_131","Bombus_lapidarius_138","Bombus_lapidarius_140","Bombus_lapidarius_143","Bombus_pascuorum_127","Bombus_pascuorum_130","Bombus_pascuorum_132","Bombus_pascuorum_139","Bombus_terrestris_136"
"0-5 Pedicularis_sylvatica",0,0,0,2,0,0,0,0,0
"10-10 Pedicularis_sylvatica",0,0,0,0,0,0,0,2,0
"13-4 Pedicularis_sylvatica",0,0,0,6,0,0,0,0,0
"17-3 Pedicularis_sylvatica",0,1,0,0,0,0,0,0,0
"17-4 Pedicularis_sylvatica",4,0,4,0,0,0,0,0,0
"18-4 Pedicularis_sylvatica",0,0,0,1,0,0,0,0,0
"20-1 Pedicularis_sylvatica",0,0,1,0,0,4,0,0,0
"21-1 Pedicularis_sylvatica",0,0,2,0,0,0,0,0,0
"21-2 Pedicularis_sylvatica",0,0,1,2,0,4,0,0,0
"21-3 Pedicularis_sylvatica",0,1,0,0,0,0,0,0,0
"21-4 Pedicularis_sylvatica",0,1,0,0,0,0,0,0,0
"22-1 Pedicularis_sylvatica",0,0,0,0,0,0,0,0,3
"5-5 Pedicularis_sylvatica",0,0,0,0,1,0,1,0,0
