"","Bombus_lapidarius_371","Bombus_lapidarius_373","Bombus_lapidarius_377","Bombus_lapidarius_445","Bombus_pascuorum_370"
"11-11 Pedicularis_sylvatica",1,0,0,0,0
"13-1 Pedicularis_sylvatica",1,0,0,0,0
"13-13 Pedicularis_sylvatica",0,0,0,1,0
"16-1 Pedicularis_sylvatica",0,0,0,0,1
"17-4 Pedicularis_sylvatica",0,0,2,4,0
"20-5 Pedicularis_sylvatica",0,0,0,0,1
"21-1 Pedicularis_sylvatica",0,1,0,0,0
"21-4 Pedicularis_sylvatica",0,0,1,0,0
"22-1 Pedicularis_sylvatica",0,0,1,0,0
"22-2 Pedicularis_sylvatica",0,2,0,0,0
"23-23 Pedicularis_sylvatica",0,0,1,0,0
"23-3 Pedicularis_sylvatica",0,3,0,0,0
