"","Andrena_minutuloides_474","Andrena_minutuloides_476","Andrena_minutuloides_477","Andrena_minutuloides_479","Andrena_nigroaena_483","Erebia_meolans_628","Eupeodes_sp_635","Platycheirus_albimanus_478","Sphaerophoria_scripta_470","Sphaerophoria_scripta_471","Sphaerophoria_scripta_472","Sphaerophoria_scripta_473","Sphaerophoria_scripta_475","Sphaerophoria_scripta_480","Sphaerophoria_scripta_481","Sphaerophoria_scripta_482","Sphaerophoria_scripta_620"
"0-2 Potentilla_erecta",0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0
"0-6 Potentilla_erecta",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"1-1 Potentilla_erecta",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"10-3 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"11-5 Potentilla_erecta",0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0
"13-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"15-3 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"16-2 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16-3 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"17-3 Potentilla_erecta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-4 Potentilla_erecta",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"18-2 Potentilla_erecta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-4 Potentilla_erecta",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-1 Potentilla_erecta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-2 Potentilla_erecta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-3 Potentilla_erecta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19-4 Potentilla_erecta",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-5 Potentilla_erecta",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-1 Potentilla_erecta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20-3 Potentilla_erecta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21-4 Potentilla_erecta",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22-1 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"22-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"23-1 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"23-2 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8-4 Potentilla_erecta",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"9-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
