Year,Day_ISO,Week_ISO,Week,Periodo_hora,Bosque,Codigo_vuelo_dia,Codigo_vuelo,Polinizador,Codigo_captura,Planta1,X1,Y1,node1,time_of_day,plot,X2,Y2,node2,Planta2,step_length,angle,turning_angle,change_plant_sp,Periodo,richness1,richness2,total_number_flowers1,total_number_flowers2,flowers_sp1_XY1,flowers_sp1_XY2,flowers_sp2_XY1,flowers_sp2_XY2,delta_richness,delta_total_flowers,delta_flowers_sp1,delta_flowers_sp2
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,2,15,1,12:40 - 15:19,Plot 1,2,15,2,Ranunculus_sp,0,0,NA,FALSE,1,2,2,9,9,8,8,8,8,0,0,0,0
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,2,15,2,12:40 - 15:19,Plot 1,2,15,3,Ranunculus_sp,0,0,0,FALSE,1,2,2,9,9,8,8,8,8,0,0,0,0
2020,143,21,7,2,1,12,87,Platycheirus_sp,NA,Ranunculus_sp,2,15,3,12:40 - 15:19,Plot 1,4,15,4,Ranunculus_sp,2,0,0,FALSE,1,2,2,9,26,8,NA,8,NA,0,17,NA,NA
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10,1,15:20 - 18:05,Plot 1,19,10,2,Ranunculus_sp,0,0,NA,FALSE,1,3,3,39,39,9,9,9,9,0,0,0,0
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10,2,15:20 - 18:05,Plot 1,19,10,3,Ranunculus_sp,0,0,0,FALSE,1,3,3,39,39,9,9,9,9,0,0,0,0
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10,3,15:20 - 18:05,Plot 1,19,9,4,Ranunculus_sp,1,-90,-90,FALSE,1,3,3,39,37,9,1,9,1,0,-2,-8,-8
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,9,4,15:20 - 18:05,Plot 1,19,10,5,Ranunculus_sp,1,90,180,FALSE,1,3,3,37,39,1,9,1,9,0,2,8,8
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,10,5,15:20 - 18:05,Plot 1,19,11,6,Ranunculus_sp,1,90,0,FALSE,1,3,4,39,62,9,9,9,9,1,23,0,0
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,19,11,6,15:20 - 18:05,Plot 1,18,11,7,Ranunculus_sp,1,-0,-90,FALSE,1,4,3,62,57,9,3,9,3,-1,-5,-6,-6
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,18,11,7,15:20 - 18:05,Plot 1,18,11,8,Ranunculus_sp,0,0,0,FALSE,1,3,3,57,57,3,3,3,3,0,0,0,0
2020,143,21,7,3,1,23,98,Lasioglossum_calceatum,NA,Ranunculus_sp,18,11,8,15:20 - 18:05,Plot 1,17,11,9,Ranunculus_sp,1,-0,-0,FALSE,1,3,4,57,32,3,2,3,2,1,-25,-1,-1
2020,143,21,7,3,1,25,100,Lasioglossum_calceatum,NA,Ranunculus_sp,16,10,1,15:20 - 18:05,Plot 1,16,10,2,Ranunculus_sp,0,0,NA,FALSE,1,5,5,28,28,4,4,4,4,0,0,0,0
2020,143,21,7,3,1,25,100,Lasioglossum_calceatum,NA,Ranunculus_sp,16,10,2,15:20 - 18:05,Plot 1,16,10,3,Ranunculus_sp,0,0,0,FALSE,1,5,5,28,28,4,4,4,4,0,0,0,0
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,22,4,1,10:00 - 12:39,Plot 4,22,4,2,Potentilla_erecta,0,0,NA,FALSE,1,1,1,26,26,26,26,26,26,0,0,0,0
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,22,4,2,10:00 - 12:39,Plot 4,22,4,3,Potentilla_erecta,0,0,0,FALSE,1,1,1,26,26,26,26,26,26,0,0,0,0
2020,147,22,8,1,4,1,122,Seladonia_confusa,NA,Potentilla_erecta,22,4,3,10:00 - 12:39,Plot 4,21,4,4,Potentilla_erecta,1,-0,-0,FALSE,1,1,1,26,31,26,31,26,31,0,5,5,5
2020,176,26,12,2,4,8,391,Lasioglossum_calceatum,NA,Potentilla_erecta,24,3,1,12:40 - 15:19,Plot 4,24,3,2,Potentilla_erecta,0,0,NA,FALSE,2,2,2,10,10,10,10,10,10,0,0,0,0
2020,176,26,12,2,4,9,392,Lasioglossum_calceatum,NA,Potentilla_erecta,9,1,1,12:40 - 15:19,Plot 4,9,1,2,Potentilla_erecta,0,0,NA,FALSE,2,2,2,11,11,3,3,3,3,0,0,0,0
2020,176,26,12,2,4,9,392,Lasioglossum_calceatum,NA,Potentilla_erecta,9,1,2,12:40 - 15:19,Plot 4,9,1,3,Potentilla_erecta,0,0,0,FALSE,2,2,2,11,11,3,3,3,3,0,0,0,0
2020,176,26,12,2,4,10,393,Lasioglossum_calceatum,NA,Potentilla_erecta,21,21,1,12:40 - 15:19,Plot 4,21,21,2,Potentilla_erecta,0,0,NA,FALSE,2,2,2,3,3,3,3,3,3,0,0,0,0
2020,176,26,12,2,4,11,394,Lasioglossum_calceatum,NA,Potentilla_erecta,6,8,1,12:40 - 15:19,Plot 4,6,8,2,Potentilla_erecta,0,0,NA,FALSE,2,1,1,1,1,1,1,1,1,0,0,0,0
2020,176,26,12,2,4,11,394,Lasioglossum_calceatum,NA,Potentilla_erecta,6,8,2,12:40 - 15:19,Plot 4,6,8,3,Potentilla_erecta,0,0,0,FALSE,2,1,1,1,1,1,1,1,1,0,0,0,0
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14,1,12:40 - 15:19,Plot 5,3,15,2,Potentilla_erecta,1,90,NA,FALSE,1,2,1,9,13,1,NA,1,NA,-1,4,NA,NA
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,15,2,12:40 - 15:19,Plot 5,3,14,3,Potentilla_erecta,1,-90,-180,FALSE,1,1,2,13,9,NA,1,NA,1,1,-4,NA,NA
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14,3,12:40 - 15:19,Plot 5,3,14,4,Potentilla_erecta,0,0,90,FALSE,1,2,2,9,9,1,1,1,1,0,0,0,0
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14,4,12:40 - 15:19,Plot 5,3,14,5,Potentilla_erecta,0,0,0,FALSE,1,2,2,9,9,1,1,1,1,0,0,0,0
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14,5,12:40 - 15:19,Plot 5,3,14,6,Potentilla_erecta,0,0,0,FALSE,1,2,2,9,9,1,1,1,1,0,0,0,0
2020,148,22,8,2,5,18,161,Eupeodes_corollae,NA,Potentilla_erecta,3,14,6,12:40 - 15:19,Plot 5,3,15,7,Potentilla_erecta,1,90,90,FALSE,1,2,1,9,13,1,NA,1,NA,-1,4,NA,NA
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,3,14,1,12:40 - 15:19,Plot 5,3,14,2,Potentilla_erecta,0,0,NA,FALSE,1,2,2,9,9,1,1,1,1,0,0,0,0
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,3,14,2,12:40 - 15:19,Plot 5,4,15,3,Potentilla_erecta,1.4142135623730951,45,45,FALSE,1,2,1,9,5,1,NA,1,NA,-1,-4,NA,NA
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,4,15,3,12:40 - 15:19,Plot 5,3,10,4,Potentilla_erecta,5.0990195135927845,78.69006752597979,33.690067525979785,FALSE,1,1,1,5,13,NA,NA,NA,NA,0,8,NA,NA
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,3,10,4,12:40 - 15:19,Plot 5,4,15,5,Potentilla_erecta,5.0990195135927845,78.69006752597979,0,FALSE,1,1,1,13,5,NA,NA,NA,NA,0,-8,NA,NA
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,4,15,5,12:40 - 15:19,Plot 5,4,15,6,Potentilla_erecta,0,0,-78.69006752597979,FALSE,1,1,1,5,5,NA,NA,NA,NA,0,0,NA,NA
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,4,15,6,12:40 - 15:19,Plot 5,5,15,7,Potentilla_erecta,1,0,0,FALSE,1,1,1,5,11,NA,NA,NA,NA,0,6,NA,NA
2020,148,22,8,2,5,19,162,Eupeodes_corollae,NA,Potentilla_erecta,5,15,7,12:40 - 15:19,Plot 5,5,15,8,Potentilla_erecta,0,0,0,FALSE,1,1,1,11,11,NA,NA,NA,NA,0,0,NA,NA
2020,148,22,8,2,5,21,164,Eupeodes_corollae,NA,Potentilla_erecta,6,15,1,12:40 - 15:19,Plot 5,6,17,2,Potentilla_erecta,2,90,NA,FALSE,1,1,1,8,2,NA,NA,NA,NA,0,-6,NA,NA
2020,148,22,8,2,5,21,164,Eupeodes_corollae,NA,Potentilla_erecta,6,17,2,12:40 - 15:19,Plot 5,6,18,3,Potentilla_erecta,1,90,0,FALSE,1,1,1,2,12,NA,NA,NA,NA,0,10,NA,NA
2020,148,22,8,3,5,24,167,Platycheirus_albimanus,NA,Potentilla_erecta,5,7,1,15:20 - 18:05,Plot 5,5,6,2,Potentilla_erecta,1,-90,NA,FALSE,1,1,1,4,16,4,16,4,16,0,12,12,12
2020,148,22,8,3,5,24,167,Platycheirus_albimanus,NA,Potentilla_erecta,5,6,2,15:20 - 18:05,Plot 5,3,7,3,Potentilla_erecta,2.23606797749979,-26.56505117707799,63.43494882292201,FALSE,1,1,1,16,2,16,2,16,2,0,-14,-14,-14
2020,148,22,8,3,5,29,172,Platycheirus_albimanus,NA,Potentilla_erecta,5,13,1,15:20 - 18:05,Plot 5,4,12,2,Potentilla_erecta,1.4142135623730951,45,NA,FALSE,1,1,2,4,7,NA,1,NA,1,1,3,NA,NA
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20,1,12:40 - 15:19,Plot 3,1,20,2,Ranunculus_sp,0,0,NA,FALSE,1,1,1,4,4,4,4,4,4,0,0,0,0
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20,2,12:40 - 15:19,Plot 3,1,20,3,Ranunculus_sp,0,0,0,FALSE,1,1,1,4,4,4,4,4,4,0,0,0,0
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20,3,12:40 - 15:19,Plot 3,1,20,4,Ranunculus_sp,0,0,0,FALSE,1,1,1,4,4,4,4,4,4,0,0,0,0
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,20,4,12:40 - 15:19,Plot 3,1,21,5,Ranunculus_sp,1,90,90,FALSE,1,1,1,4,4,4,4,4,4,0,0,0,0
2020,149,22,8,2,3,1,175,Episyrphus_balteatus,NA,Ranunculus_sp,1,21,5,12:40 - 15:19,Plot 3,1,22,6,Ranunculus_sp,1,90,0,FALSE,1,1,3,4,14,4,3,4,3,2,10,-1,-1
2020,149,22,8,3,3,23,197,Osmia_andrenoides,NA,Lotus_corniculatus,17,23,1,15:20 - 18:05,Plot 3,17,23,2,Lotus_corniculatus,0,0,NA,FALSE,1,3,3,33,33,27,27,27,27,0,0,0,0
2020,149,22,8,3,3,23,197,Osmia_andrenoides,NA,Lotus_corniculatus,17,23,2,15:20 - 18:05,Plot 3,17,23,3,Lotus_corniculatus,0,0,0,FALSE,1,3,3,33,33,27,27,27,27,0,0,0,0
