term,estimate,std.error,statistic,p.value,pollinator
step_length,0.19455895761729158,0.0668585316253496,2.9100094316687626,0.003614178493426733,Bombus_pascuorum
delta_richness,-0.00412404436628501,0.04044242886071979,-0.1019732118584633,0.918777938060397,Bombus_pascuorum
delta_total_flowers,0.09178106079669991,0.03994570872981974,2.297645071651582,0.021581998174830225,Bombus_pascuorum
step_length:time_of_day12:40 - 15:19,-0.010766856001382967,0.06964641206421582,-0.15459311804110804,0.8771420957784224,Bombus_pascuorum
step_length:time_of_day15:20 - 18:05,0.05191219619254712,0.06465413571713867,0.8029215086821756,0.42202010332050277,Bombus_pascuorum
step_length:change_plant_spTRUE,-0.1534971250566038,0.05457554762363294,-2.8125622506833934,0.004914850918814514,Bombus_pascuorum
step_length:Periodo2,0.04872502650884014,0.05774580196505524,0.8437847402019976,0.3987897042230424,Bombus_pascuorum
step_length:Periodo3,-7.867261683324957e-4,0.0825965020595058,-0.009524933244336509,0.9924003177345495,Bombus_pascuorum
step_length,0.5705104750621762,0.09912032404636185,5.755736581282055,8.62648146218538e-9,Apis_mellifera
delta_richness,-0.6784616126756067,0.06736210946741293,-10.071858171303543,7.357470754590285e-24,Apis_mellifera
delta_total_flowers,0.2880072023564625,0.05367296045106053,5.36596453663237,8.051776216788675e-8,Apis_mellifera
step_length:time_of_day12:40 - 15:19,-0.19222156139406713,0.09060468383081492,-2.121541108768728,0.033876292308995755,Apis_mellifera
step_length:time_of_day15:20 - 18:05,0.14994243616888017,0.09196704707475606,1.6303930694545234,0.1030184484936366,Apis_mellifera
step_length:change_plant_spTRUE,-0.5045558951637316,0.08083895600958939,-6.241494448590843,4.3340982315942677e-10,Apis_mellifera
step_length:Periodo2,-0.21595019482506214,0.0759124899545801,-2.8447254852827157,0.004444971259742619,Apis_mellifera
step_length:Periodo3,-27.667198908773205,2167.187467892973,-0.012766407760595058,0.9898141570350879,Apis_mellifera
step_length,0.06431895513648514,0.10013386643531538,0.6423296875092104,0.520659142325184,Sphaerophoria_scripta
delta_richness,-0.03731178551874095,0.058726628381526286,-0.635346972013094,0.5252021447465841,Sphaerophoria_scripta
delta_total_flowers,0.09877356478901267,0.0525851829834034,1.878353543434221,0.060332816305816495,Sphaerophoria_scripta
step_length:time_of_day12:40 - 15:19,0.09408771989052572,0.07956148900320337,1.1825786705266097,0.23697616990476067,Sphaerophoria_scripta
step_length:time_of_day15:20 - 18:05,0.06429783931919372,0.09530738355552545,0.6746364963605808,0.49990673962939186,Sphaerophoria_scripta
step_length:change_plant_spTRUE,-0.07556467651336761,0.06772531087108723,-1.1157523759056986,0.26452814431289273,Sphaerophoria_scripta
step_length:Periodo2,0.05306100577955532,0.08661008704648361,0.6126423328852849,0.5401128605940573,Sphaerophoria_scripta
step_length:Periodo3,0.09390903040276567,0.08744948546555723,1.073866014223178,0.2828827374775857,Sphaerophoria_scripta
step_length,0.7170638978956807,0.1614053670063659,4.44262734997777,8.886700260908686e-6,Bombus_lapidarius
delta_richness,0.08311076987548437,0.0883023062338808,0.9412072393143851,0.3465986675962243,Bombus_lapidarius
delta_total_flowers,-0.029519370089272946,0.08265131244195098,-0.35715549114849776,0.720975404261297,Bombus_lapidarius
step_length:time_of_day12:40 - 15:19,-0.19971806471809048,0.16531137083455238,-1.2081326511893313,0.22699624225213605,Bombus_lapidarius
step_length:time_of_day15:20 - 18:05,-0.1297974074432457,0.16243674080769754,-0.7990643422038843,0.42425310434755664,Bombus_lapidarius
step_length:change_plant_spTRUE,-0.348579004693081,0.09908052376484211,-3.5181384943058944,4.3458549028672986e-4,Bombus_lapidarius
step_length:Periodo2,-0.23677252727445167,0.1261073461138553,-1.8775474591359884,0.06044309910833024,Bombus_lapidarius
step_length:Periodo3,-0.374456656467107,0.2607133140135396,-1.4362774601057022,0.1509234051702514,Bombus_lapidarius
step_length,0.5239367578791431,0.20344907184894795,2.575272293540583,0.010016120003758917,Eristalis_sp
delta_richness,-0.6198919023443428,0.17840586627246086,-3.474616139570466,5.115848512287776e-4,Eristalis_sp
delta_total_flowers,0.40119630513182375,0.16280660195279456,2.464250837003218,0.013729998733681815,Eristalis_sp
step_length:time_of_day12:40 - 15:19,-0.2734037230038638,0.26171789055057143,-1.044650491522414,0.29618453436600867,Eristalis_sp
step_length:time_of_day15:20 - 18:05,0.11695743554148767,0.3503066415791718,0.33387159037078795,0.7384764584699524,Eristalis_sp
step_length:change_plant_spTRUE,-0.17184204120513488,0.20223563119394833,-0.849711992840345,0.39548522911930944,Eristalis_sp
step_length:Periodo2,-0.9775873471780204,0.3479135813625936,-2.8098568137217512,0.004956354509760962,Eristalis_sp
step_length:Periodo3,-1.043569859219389,0.48199891230024905,-2.165087581295875,0.03038097882842035,Eristalis_sp
