term,estimate,std.error,statistic,p.value,pollinator
step_length,-0.02854641786897756,0.02308229146146401,-1.236723741948928,0.2161896613370644,Bombus_pascuorum
log_sl,0.0884138771512724,0.012831314835459072,6.8904767971979375,5.56056962441696e-12,Bombus_pascuorum
change_plant_spTRUE,-0.39769216799917806,0.13129884079037343,-3.028908447364876,0.002454390498906384,Bombus_pascuorum
delta_richness,0.015051599919936572,0.0369219045190206,0.4076604421145888,0.6835229832145412,Bombus_pascuorum
delta_total_flowers,0.15531180156515983,0.03609485769363025,4.302878899909559,1.685930099078346e-5,Bombus_pascuorum
step_length,-0.09088588642033428,0.032192795635250855,-2.823174708095713,0.004755065201633966,Apis_mellifera
log_sl,0.11336026733114539,0.01641753280959943,6.904829650461424,5.0263707012112595e-12,Apis_mellifera
change_plant_spTRUE,0.061899533918154455,0.40016588955686055,0.15468468336144628,0.8770699055531082,Apis_mellifera
delta_richness,-0.4193565723643692,0.0505872719201294,-8.289764528644234,1.1347288416884619e-16,Apis_mellifera
delta_total_flowers,0.26252743484853713,0.03713078097662212,7.070345086838513,1.5454887907704896e-12,Apis_mellifera
step_length,0.00396480342034967,0.03678976649077805,0.10776919231992169,0.9141787814922833,Sphaerophoria_scripta
log_sl,0.08454118386654846,0.01925996573153508,4.389477377320872,1.1362339732866563e-5,Sphaerophoria_scripta
change_plant_spTRUE,0.013637749780743967,0.12696956457391734,0.10740959714644477,0.9144640411324538,Sphaerophoria_scripta
delta_richness,0.028369843995568828,0.0468665005295195,0.6053330988026233,0.5449576933191105,Sphaerophoria_scripta
delta_total_flowers,0.054702504521540546,0.03102834367466892,1.7629850015551702,0.07790301932175787,Sphaerophoria_scripta
step_length,0.055061321165354865,0.02597277395709252,2.1199630527073134,0.034009161264288205,Bombus_lapidarius
log_sl,0.06311582889820028,0.02320056043885882,2.7204441489476707,0.006519428401360399,Bombus_lapidarius
change_plant_spTRUE,-0.051404997172283855,0.2248183727847401,-0.22865122870319543,0.819140004387825,Bombus_lapidarius
delta_richness,0.08937826518801552,0.07185885740250575,1.2438030386063286,0.21357206179289315,Bombus_lapidarius
delta_total_flowers,0.02436428004620627,0.06259576108375581,0.38923210812319736,0.6971044536762404,Bombus_lapidarius
step_length,-0.39879780210952814,0.164856359974087,-2.4190622804738213,0.015560575751690866,Eristalis_sp
log_sl,0.21453125248687113,0.05133038056369294,4.179420649739223,2.922526690701383e-5,Eristalis_sp
change_plant_spTRUE,-0.052370829399563223,0.2832239194827982,-0.18490962731960922,0.8532999196994974,Eristalis_sp
delta_richness,-0.41163587934244017,0.13216657708679036,-3.114523266136563,0.001842424256560421,Eristalis_sp
delta_total_flowers,0.29510995132916495,0.12643281022332353,2.334124748219232,0.01958919077339942,Eristalis_sp
