term,estimate,std.error,statistic,p.value,pollinator
step_length,0.03440550265124155,0.015075435513127471,2.2822228002157376,0.022476189648803536,Bombus_pascuorum
change_plant_spTRUE,0.002946903954247645,0.11113946860981956,0.026515368402501755,0.9788462756963723,Bombus_pascuorum
delta_richness,0.03082640977243208,0.040783660903272,0.7558519536915562,0.4497379633055342,Bombus_pascuorum
delta_total_flowers,0.1537745431570752,0.039957435402017835,3.848458781448963,1.1886329155784306e-4,Bombus_pascuorum
step_length,0.028343018307520066,0.02181383050875516,1.2993141344957442,0.19383614559341017,Apis_mellifera
change_plant_spTRUE,0.001728935048924436,0.39735280185163335,0.004351133403030587,0.9965283087902841,Apis_mellifera
delta_richness,-0.4941656279276045,0.054526930178441395,-9.062781020505449,1.2716615143211533e-19,Apis_mellifera
delta_total_flowers,0.3141935201390622,0.041732850386988755,7.52868584881084,5.1253528994814935e-14,Apis_mellifera
step_length,0.03004998143751322,0.027019794775577276,1.1121469162554438,0.2660749874014967,Sphaerophoria_scripta
change_plant_spTRUE,0.04345037106485633,0.12613666901552015,0.344470576272393,0.7304924202980014,Sphaerophoria_scripta
delta_richness,0.035746378578990434,0.055190705019977374,0.6476883845939515,0.5171865183927801,Sphaerophoria_scripta
delta_total_flowers,0.10881005089092764,0.03999999985858988,2.7202512818899676,0.006523232442434556,Sphaerophoria_scripta
step_length,0.011317226901675977,0.018173993227531007,0.6227154792009052,0.5334715088449316,Bombus_lapidarius
change_plant_spTRUE,0.005983687378424525,0.22342617228494188,0.026781497070062835,0.9786340111240188,Bombus_lapidarius
delta_richness,0.11187771731246188,0.08644477640506336,1.294210268856787,0.19559280071961616,Bombus_lapidarius
delta_total_flowers,0.0022647324765420846,0.08175717483951438,0.027700718389397038,0.9779008507327176,Bombus_lapidarius
step_length,0.16810181584894918,0.1027722608881139,1.6356730346913186,0.10190803593285333,Eristalis_sp
change_plant_spTRUE,-0.15574742936351824,0.28619575068446823,-0.5441989581991743,0.5863045686666515,Eristalis_sp
delta_richness,-0.4214216604538191,0.13265281068659834,-3.176876978878779,0.0014887017038030974,Eristalis_sp
delta_total_flowers,0.2657957437277637,0.11769136428857631,2.2584133112437983,0.023919903606182104,Eristalis_sp
