term,estimate,std.error,statistic,p.value,pollinator
step_length,0.044606460518879947,0.014857395808171948,3.002306803615291,0.0026794198606529917,Bombus_pascuorum
change_plant_spTRUE,-2.148135053293921,0.10291279187067162,-20.8733531978555,9.353684003947644e-97,Bombus_pascuorum
delta_richness,0.028500532766855807,0.04137143024758419,0.6888940652111016,0.4908899344501012,Bombus_pascuorum
delta_total_flowers,0.15797979100222675,0.04078230930646408,3.873733334104909,1.0718068920586401e-4,Bombus_pascuorum
step_length,0.029789485316704608,0.022157029399891035,1.3444710831521083,0.178796101154227,Apis_mellifera
change_plant_spTRUE,-4.541224996791815,0.3803964562491311,-11.938136967862954,7.488166249888878e-33,Apis_mellifera
delta_richness,-0.444025593319726,0.055809485064510965,-7.956095506103857,1.7755336452171235e-15,Apis_mellifera
delta_total_flowers,0.2738181985836938,0.04352182149809921,6.291515133291299,3.1438216003330954e-10,Apis_mellifera
step_length,0.02551967396664475,0.028244394864189695,0.9035305620585433,0.3662443754989686,Sphaerophoria_scripta
change_plant_spTRUE,-1.317303861278958,0.11285122693611856,-11.672924584370193,1.7529170533821296e-31,Sphaerophoria_scripta
delta_richness,0.03340992400704686,0.05504496409573722,0.6069569588407485,0.5438794763368539,Sphaerophoria_scripta
delta_total_flowers,0.07362404142074455,0.03863953138133075,1.9054072031607785,0.05672715961405352,Sphaerophoria_scripta
step_length,0.014812686052276982,0.018933394901410664,0.7823576347194521,0.4340044241450976,Bombus_lapidarius
change_plant_spTRUE,-2.038537437905079,0.19974286466126928,-10.205808559730531,1.8675905733969297e-24,Bombus_lapidarius
delta_richness,0.1346770220904583,0.08677158121943482,1.552086756951869,0.1206414662690482,Bombus_lapidarius
delta_total_flowers,0.055267220919782034,0.08451287668505442,0.6539502983165606,0.5131438270552169,Bombus_lapidarius
step_length,0.18150897102117206,0.10690944500832814,1.6977823709311435,0.08954884438634303,Eristalis_sp
change_plant_spTRUE,-1.1279386575429686,0.24317344941679836,-4.638412048059104,3.510962849347591e-6,Eristalis_sp
delta_richness,-0.42477294435111757,0.14029487463425994,-3.0277153421211884,0.002464100800111731,Eristalis_sp
delta_total_flowers,0.29043027785789105,0.1269902712398367,2.2870277779734627,0.022194201782390618,Eristalis_sp
