comparisson,coefficients,sigma,species
"Site 1 (Flow. period 2: 15:20 - 18:05, 2021) - Site 1 (Flow. period 2: 12:40 - 15:19, 2020)",-0.1960784313725474,0.03970091026055895,Bombus pascuorum
"Site 2 (Flow. period 1: 12:40 - 15:19, 2020) - Site 1 (Flow. period 2: 12:40 - 15:19, 2020)",-0.17480183562786583,0.04245565767335273,Bombus pascuorum
"Site 2 (Flow. period 1: 15:20 - 18:05, 2020) - Site 1 (Flow. period 2: 12:40 - 15:19, 2020)",-0.15686274509804068,0.048423028886031186,Bombus pascuorum
"Site 2 (Flow. period 3: 12:40 - 15:19, 2021) - Site 1 (Flow. period 2: 12:40 - 15:19, 2020)",-0.16382036685641957,0.04578551968688616,Bombus pascuorum
"Site 2 (Flow. period 1: 10:00 - 12:39, 2020) - Site 1 (Flow. period 2: 15:20 - 18:05, 2021)",0.09090909090909166,0.021793430611327526,Bombus pascuorum
"Site 2 (Flow. period 2: 12:40 - 15:19, 2020) - Site 1 (Flow. period 2: 15:20 - 18:05, 2021)",0.2999999999999978,0.06613000712661064,Bombus pascuorum
"Site 2 (Flow. period 2: 15:20 - 18:05, 2020) - Site 1 (Flow. period 2: 15:20 - 18:05, 2021)",0.32203389830508455,0.06188035503245564,Bombus pascuorum
"Site 2 (Flow. period 2: 12:40 - 15:19, 2020) - Site 2 (Flow. period 1: 10:00 - 12:39, 2020)",0.20909090909090616,0.06962852476087888,Bombus pascuorum
"Site 2 (Flow. period 2: 15:20 - 18:05, 2020) - Site 2 (Flow. period 1: 10:00 - 12:39, 2020)",0.2311248073959929,0.06560588355287593,Bombus pascuorum
"Site 2 (Flow. period 2: 12:40 - 15:19, 2020) - Site 2 (Flow. period 1: 12:40 - 15:19, 2020)",0.2787234042553163,0.06781960214809216,Bombus pascuorum
"Site 2 (Flow. period 2: 15:20 - 18:05, 2020) - Site 2 (Flow. period 1: 12:40 - 15:19, 2020)",0.300757302560403,0.06368279934097358,Bombus pascuorum
"Site 2 (Flow. period 2: 12:40 - 15:19, 2020) - Site 2 (Flow. period 1: 15:20 - 18:05, 2020)",0.2607843137254911,0.07170638251610506,Bombus pascuorum
"Site 2 (Flow. period 2: 15:20 - 18:05, 2020) - Site 2 (Flow. period 1: 15:20 - 18:05, 2020)",0.28281821203057783,0.06780712197050655,Bombus pascuorum
"Site 2 (Flow. period 3: 12:40 - 15:19, 2021) - Site 2 (Flow. period 2: 12:40 - 15:19, 2020)",-0.26774193548387,0.06995233648740275,Bombus pascuorum
"Site 2 (Flow. period 3: 12:40 - 15:19, 2021) - Site 2 (Flow. period 2: 15:20 - 18:05, 2020)",-0.2897758337889567,0.06594944940197761,Bombus pascuorum
"Site 1 (Flow. period 2: 10:00 - 12:39, 2020) - Site 1 (Flow. period 1: 10:00 - 12:39, 2020)",0.330293819655522,0.0997675527490065,Sphaerophoria scripta
"Site 2 (Flow. period 1: 12:40 - 15:19, 2020) - Site 1 (Flow. period 1: 10:00 - 12:39, 2020)",0.4175824175824188,0.1061670751711433,Sphaerophoria scripta
"Site 1 (Flow. period 2: 10:00 - 12:39, 2021) - Site 1 (Flow. period 1: 15:20 - 18:05, 2020)",-0.3571428571428542,0.09390602830316802,Sphaerophoria scripta
"Site 5 (Flow. period 1: 15:20 - 18:05, 2020) - Site 1 (Flow. period 1: 15:20 - 18:05, 2020)",-0.35714285714285576,0.09390602830316801,Sphaerophoria scripta
"Site 1 (Flow. period 2: 10:00 - 12:39, 2021) - Site 1 (Flow. period 2: 10:00 - 12:39, 2020)",-0.42553191489361675,0.0736868716781782,Sphaerophoria scripta
"Site 4 (Flow. period 1: 12:40 - 15:19, 2020) - Site 1 (Flow. period 2: 10:00 - 12:39, 2020)",-0.36670838548185325,0.08460656094662729,Sphaerophoria scripta
"Site 5 (Flow. period 1: 15:20 - 18:05, 2020) - Site 1 (Flow. period 2: 10:00 - 12:39, 2020)",-0.4255319148936183,0.07368687167817797,Sphaerophoria scripta
"Site 2 (Flow. period 1: 10:00 - 12:39, 2020) - Site 1 (Flow. period 2: 10:00 - 12:39, 2021)",0.36585365853658547,0.07710461692544444,Sphaerophoria scripta
"Site 2 (Flow. period 1: 12:40 - 15:19, 2020) - Site 1 (Flow. period 2: 10:00 - 12:39, 2021)",0.5128205128205136,0.08214400968169085,Sphaerophoria scripta
"Site 4 (Flow. period 1: 12:40 - 15:19, 2020) - Site 2 (Flow. period 1: 10:00 - 12:39, 2020)",-0.30703012912482197,0.08759929822046865,Sphaerophoria scripta
"Site 5 (Flow. period 1: 15:20 - 18:05, 2020) - Site 2 (Flow. period 1: 10:00 - 12:39, 2020)",-0.365853658536587,0.07710461692544439,Sphaerophoria scripta
"Site 4 (Flow. period 1: 12:40 - 15:19, 2020) - Site 2 (Flow. period 1: 12:40 - 15:19, 2020)",-0.45399698340875005,0.09206602752418937,Sphaerophoria scripta
"Site 5 (Flow. period 1: 15:20 - 18:05, 2020) - Site 2 (Flow. period 1: 12:40 - 15:19, 2020)",-0.5128205128205151,0.08214400968169089,Sphaerophoria scripta
"Site 2 (Flow. period 1: 10:00 - 12:39, 2021) - Site 1 (Flow. period 1: 10:00 - 12:39, 2021)",0.5499999999999984,0.11709787084887852,Eristalis sp
