Bosque,Polinizador,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif,Week,Year
1,Bombus_terrestris,0-19 Helleborus_viridis,4,0,7,1,2021
1,Apis_mellifera,11-11 Helleborus_viridis,1,0,7,1,2021
1,Bombus_terrestris,16-14 Helleborus_viridis,1,0,7,1,2021
1,Bombus_terrestris,17-18 Helleborus_viridis,2,0,7,1,2021
1,Bombus_terrestris,18-23 Helleborus_viridis,2,0,7,1,2021
1,Apis_mellifera,18-6 Helleborus_viridis,3,0,7,1,2021
1,Apis_mellifera,19-8 Helleborus_viridis,1,0,7,1,2021
1,Apis_mellifera,20-1 Helleborus_viridis,1,0,7,1,2021
1,Apis_mellifera,20-14 Helleborus_viridis,4,0,7,1,2021
1,Apis_mellifera,20-2 Helleborus_viridis,1,0,7,1,2021
1,Eristalis_sp,20-6 Taraxacum_sp,1,0,7,1,2021
1,Apis_mellifera,21-1 Helleborus_viridis,1,0,7,1,2021
1,Eristalis_sp,21-6 Taraxacum_sp,2,0,7,1,2021
1,Eristalis_sp,22-1 Taraxacum_sp,2,0,7,1,2021
1,Apis_mellifera,22-22 Helleborus_viridis,2,0,7,1,2021
1,Eristalis_sp,22-6 Taraxacum_sp,1,0,7,1,2021
1,Bombus_terrestris,24-22 Helleborus_viridis,1,0,7,1,2021
1,Eristalis_sp,24-7 Taraxacum_sp,1,0,7,1,2021
1,Eristalis_sp,6-1 Taraxacum_sp,2,0,7,1,2021
1,Bombus_terrestris,6-3 Helleborus_viridis,1,0,7,1,2021
1,Eristalis_sp,6-6 Taraxacum_sp,1,0,7,1,2021
1,Eristalis_sp,7-7 Taraxacum_sp,1,0,7,1,2021
1,Bombus_terrestris,8-6 Helleborus_viridis,1,0,7,1,2021
1,Bombus_terrestris,9-3 Helleborus_viridis,3,0,7,1,2021
2,Andrena_cineraria,15-15 Potentilla_montana,1,0,1,1,2021
2,Andrena_cineraria,16-15 Potentilla_montana,2,0,1,1,2021
2,Bombus_terrestris,17-19 Helleborus_viridis,1,0,2,1,2021
2,Apis_mellifera,19-18 Helleborus_viridis,1,0,4,1,2021
2,Bombus_terrestris,19-18 Helleborus_viridis,1,0,2,1,2021
2,Apis_mellifera,23-2 Helleborus_viridis,5,0,4,1,2021
2,Bombus_terrestris,23-2 Helleborus_viridis,2,0,2,1,2021
2,Apis_mellifera,23-21 Helleborus_viridis,3,1,3,1,2021
2,Apis_mellifera,23-21 Ranunculus_repens,1,1,3,1,2021
2,Apis_mellifera,24-9 Helleborus_viridis,2,0,4,1,2021
3,Bombus_pascuorum,0-14 Lathyrus_linifolius,1,0,19,1,2021
3,Bombus_pascuorum,0-17 Lathyrus_linifolius,2,0,19,1,2021
3,Bombus_pascuorum,1-13 Lathyrus_linifolius,1,0,19,1,2021
3,Bombus_pascuorum,1-16 Lathyrus_linifolius,1,0,19,1,2021
3,Bombus_lapidarius,10-13 Lathyrus_linifolius,1,0,11,1,2021
